,Insult,Vulgarity
685,knobhead,55
686,know-it-all,14
687,knuckle dragger,47
688,knucklehead,20
689,knuckle-nuts,48
690,kook,43
691,kooky,23
692,kutta,50
693,lame,31
694,lame-ass,50
695,lame-o,18
696,lame sauce,18
697,larry,40
698,lazy dog,39
699,leafy,38
700,leebo,39
701,lemon,27
702,lencho,43
703,libtard,25
704,lick it,72
705,lick my froth,77
706,lick my scroat,44
707,lick (one's) clit,71
708,like ass,54
709,like ass pie,36
710,like death warmed over,16
711,like watching paint dry,2
712,limpdick,58
713,limp dick,62
714,llama,37
715,LMP,72
716,loaf,16
717,loaf about,24
718,loaf around,31
719,loc,33
720,LOL,34
721,LOLITA,31
722,loon,32
723,loony,25
724,looper,47
725,loopy,35
726,loose,43
727,lot lizard,43
728,loud,32
729,louse,55
730,lovely,7
731,lunchin',6
732,lunkhead,28
733,lurker,30
734,mack daddy,45
735,mad,17
736,madame,24
737,mad as a hatter,26
738,madcap,32
739,mad hatter,20
740,mad whack,30
741,mafugly,69
742,mahfugly,64
743,mangy,19
744,mank,37
745,man-slut,63
746,manster,35
747,manwhore,44
748,Mary,49
749,melon,35
750,Melv,27
751,Melvin,33
752,merked,34
753,mess,0
754,messed,30
755,messed up,38
756,Mickey Mouse,20
757,"middle of nowhere, the",25
758,MILF,72
759,mimbo,40
760,minger,53
761,mob,47
762,mofo,60
763,mo fo,57
764,mofugly,39
765,mole,54
766,moll,59
767,momo,40
768,Mona Bushpig,47
769,mondo bizarro,26
770,monet,35
771,monster,50
772,moran,54
773,more cuckoo than a clock,0
774,more cuckoo than a clock factory,0
775,moron,39
776,mothafucka,71
777,mother fucker,78
778,mother trucker,42
779,motor-mouth,22
780,mouth breather,25
781,mud duck,42
782,mudpout,40
783,mugly,33
784,mule head,54
785,munchkin,33
786,mundane,31
787,muppet,24
788,mushroom,34
789,MWF,46
790,naff,19
791,nappy,28
792,nas,43
793,nastafied,68
794,nasty,37
795,NAUF,70
796,neck,29
797,neckbeard,18
798,need a check up from the neck up,37
799,nerd,27
800,nerdcore,1
801,nerdery,13
802,nerdgasm,17
803,nerdulent,47
804,nerdy,33
805,newb,43
806,newbie,25
807,nightmare,13
808,nimrod,26
809,nincompoop,34
810,nitwit,37
811,NMS,41
812,no biggie,25
813,noid,27
814,non-linear,20
815,noob face,72
816,nope,14
817,not mind safe,34
818,nucking futs,49
819,nugget,40
820,numb nut,37
821,numb-nuts,57
822,numbskull,23
823,nummah,31
824,numpt,3
825,numptie,2
826,numpty,18
827,nut,65
828,nut job,31
829,nuts,47
830,nutso,24
831,nutter,15
832,nuttso,34
833,nutty,26
834,obeast,50
835,odd duck,0
836,off (one's) box,35
837,off (one's) nut,22
838,off (one's) rocker,19
839,off the deep end,38
840,off the wall,22
841,OG,42
842,old bag,100
843,old fart,47
844,Old Man Jenkins,24
845,old timer,1
846,Omega Mu,26
847,on crack,25
848,one fry short of a Happy Meal,27
849,(one's) face,9
850,(one's) highness,18
851,OP,26
852,otaku,17
853,out of hand,22
854,out of (one's) mind,11
855,out of the box,26
856,out there,24
857,out to lunch,38
858,over the hill,17
859,oxygen thief,29
860,pants,26
861,pap,43
862,paper bag trick,35
863,pass around pussy,74
864,pay lay,56
865,Pebbles,44
866,pencildick,36
867,penis-face,71
868,perma-fried,18
869,perp,39
870,person of interest,46
871,perv,52
872,perve,44
873,Peter,36
874,pickle fucker,73
875,pid,34
876,piece,31
877,piece of shit,64
878,pieon,42
879,pig,44
880,pigeon,45
881,PIK,38
882,piker,25
883,pill,42
884,pill popper,42
885,pimp,49
886,pinhead,23
887,pish,36
888,piss,45
889,piss-ant,42
890,pisshead,72
891,piss-poor,50
892,PITA,32
893,"pits, the",19
894,plank,47
895,player hate,44
896,player hater,50
897,plonker,34
898,Poindexter,21
899,poon,59
900,poophead,28
901,"poop on you, then.",33
902,poo-poo on you,28
903,poopy,65
904,pop,24
905,popcorn hoe,62
906,popper,43
907,pop slag,0
908,poseur,13
909,postal,37
910,potato quality,21
911,pound sand,25
912,prannock,25
913,prick tease,61
914,pro,27
915,prole,26
916,proof or STFU,68
917,propellerhead,22
918,prostitot,57
919,psycho,50
920,psycho-bitch,59
921,psychonaut,33
922,puck bunny,51
923,pud-whack,78
924,pud whacker,36
925,pug fugly,70
926,puke,33
927,pukoid,38
928,punk,42
929,punter,38
930,pussy,72
931,pussy-hole,68
932,put that in (one's) pipe and smoke it,27
933,putz,50
934,quack,36
935,quart,26
936,Quayle,55
937,queaf,72
938,queef,66
939,ram,41
940,rassclat,51
941,rat,32
942,raunch,11
943,raunchy,38
944,redic,28
945,redneck,36
946,reechy,10
947,reject,9
948,religitard,65
949,REMF,80
950,re-re,48
951,rest and vest,3
952,retaardvark,30
953,retard,58
954,retarded,51
955,rhino,58
956,ridonkulous,42
957,rim,66
958,rinky-dink,24
959,ripper,28
960,robot,20
961,rot in hell,23
962,r-tard,38
963,RUB,45
964,rubbish,34
965,rug-rat,64
966,runner,35
967,run with the world,17
968,sack of shit,64
969,sad,14
970,Sally,39
971,salty,23
972,santorum,65
973,sausage,50
974,sausage fest,50
975,sausage jockey,52
976,sausage party,43
977,scag,48
978,scarred,33
979,scary,53
980,schlong,48
981,schlub,47
982,schmuck,48
983,screw,51
984,screw off,44
985,screw the badger,55
986,screwy,6
987,scrote,43
988,scrub,40
989,scrubb,54
990,scud,54
991,scum,52
992,scumbag,45
993,scum-bucket,61
994,scum of the earth,20
995,sea donkey,55
996,sea hag,69
997,seven thirty,21
998,shawty,32
999,sheep,40
1000,sheisty,44
1001,sherlock,28
1002,shiksa,54
1003,shill,12
1004,shit,64
1005,shit-bag,67
1006,shit-bat crazy,94
1007,shitface,56
1008,shit fucker,75
1009,shithead,70
1010,shit out of luck,40
1011,"shits, the",71
1012,shit stirrer,54
1013,shitty,50
1014,shmuck,68
1015,shorty,27
1016,shove it,60
1017,shove it up (one's) ass,67
1018,shovel-face,40
1019,shove off,17
1020,sick,35
1021,sick fuck,86
1022,skag,31
1023,skank,56
1024,skeeve,28
1025,skeevy,27
1026,skeevy ho,45
1027,skeezy,41
1028,skeezy ho,64
1029,sketchy,20
1030,sketel,50
1031,skid,48
1032,sko,67
1033,slackass,57
1034,slack-jaw,26
1035,slack-jawed,30
1036,slack-jawed lackey,28
1037,slag,62
1038,sleazeball,40
1039,sleep around,46
1040,slimebag,17
1041,slimeball,10
1042,slitch,58
1043,slob,50
1044,slore,54
1045,slub,64
1046,slumpbuster,60
1047,slump buster,32
1048,slunt,72
1049,slut,66
1050,slutty,65
1051,smacktard,13
1052,small potatoes,40
1053,smoke crack,51
1054,smoke (one's) johnson,73
1055,smoke on that,40
1056,SNAF,65
1057,snake,34
1058,snapperhead,19
1059,snatch,66
1060,snitch,33
1061,snooze,42
1062,so-and-so,14
1063,sod,45
1064,SOL,41
1065,son of a gun,27
1066,sons of bitches,51
1067,sorostitute,52
1068,spastic,48
1069,spaz,31
1070,sped,55
1071,speed freak,36
1072,spich,63
1073,spork,29
1074,square,38
1075,stank,60
1076,STFU,66
1077,stick,23
1078,"sticks, the",20
1079,stiff,20
1080,stig,55
1081,stink,13
1082,stinkie cheese,6
1083,stoner,34
1084,stooge,26
1085,stoopid,33
1086,straight,22
1087,strange duck,2
1088,strill,48
1089,stroll,59
1090,stu,36
1091,stuff it,39
1092,stuffy,20
1093,stupid,32
1094,suck,52
1095,suck a bag of dicks,67
1096,suck a fat baby's dick,80
1097,sucka-fu chicken-head,55
1098,suck at,35
1099,suck it,61
1100,suck (one's) dick,70
1101,suck on that,34
1102,suck rocks,41
1103,suck shit,64
1104,suck so hard,64
1105,suck that,46
1106,suck the big one,54
1107,suck up,42
1108,sucky,39
1109,sugar honey ice tea,38
1110,sux,43
1111,swamp donkey,48
1112,swede,43
1113,sweetie,26
1114,sword fight,65
1115,tacky,37
1116,take a hike,43
1117,tard,44
1118,tart,38
1119,tart monkey,27
1120,tattle tail,31
1121,tattle tale,37
1122,tea bag,73
1123,technotard,57
1124,tech weenie,23
1125,television bum,27
1126,ten pounds of shit in a five-pound bag,70
1127,terribad,6
1128,thanks for nothing,19
1129,throwed,21
1130,throwed off,26
1131,thug,33
1132,tight-ass,60
1133,tired,29
1134,toc,42
1135,toe,29
1136,toe up,34
1137,toilet,55
1138,toker,24
1139,tool,32
1140,toolbox,31
1141,tore back,22
1142,tore up,30
1143,tore up from the floor up,37
1144,tosser,46
1145,tough shit,46
1146,tough titty,36
1147,tow up,49
1148,trailer trash,48
1149,trainwreck,20
1150,train wreck,32
1151,tramp,57
1152,trash,28
1153,trench coat,19
1154,trendy loke,22
1155,trick,49
1156,trif,33
1157,trifling,47
1158,trippy,22
1159,troglodyte,54
1160,troll,29
1161,TUFU,74
1162,turd,49
1163,twat,64
1164,tweaker,47
1165,tweeker,16
1166,tween,16
1167,twerp,39
1168,twinkie,51
1169,twisted,17
1170,twit,31
1171,twittlefuck,80
1172,two-bagger,70
1173,two-bit,29
1174,two cans short of a six pack,19
1175,two o'clock beauty queen,50
1176,ugly,30
1177,ugly as sin,45
1178,ugly stick,44
1179,unbelievabubble,26
1180,uncle fucker,74
1181,uncool,45
1182,unholy,3
1183,up (one's) nose with a rubber hose,25
1184,Upper Rubber Boot,1
1185,up yours,57
1186,USer,14
1187,vag,57
1188,varmint,37
1189,"village bicycle, the",25
1190,viper,7
1191,vulture capitalist,50
1192,wackadoodle,18
1193,wacked,34
1194,wacked out,35
1195,wain,22
1196,wally,18
1197,wank,61
1198,wanker,57
1199,"Wanker Town, USA",55
1200,wanksta,27
1201,WASPy,53
1202,wassock,25
1203,waste,42
1204,wastoid,31
1205,wazzock,20
1206,weak,20
1207,weenie,66
1208,weirdo,40
1209,welch,25
1210,welfare,46
1211,wet,48
1212,wet blanket,25
1213,whack,34
1214,whacked,26
1215,whacked out,9
1216,whack job,32
1217,whatever,35
1218,whipper-snapper,18
1219,Whiskey Tango,35
1220,white bread,30
1221,white trash,40
1222,whore,72
1223,whorehouse,63
1224,whoremonkey,70
1225,wideo,34
1226,wigged out,16
1227,window licker,51
1228,Windoze,0
1229,winner,47
1230,wipper-snapper,21
1231,wise guy,18
1232,woofer,53
1233,word up to your mother,62
1234,worked,7
1235,working girl,48
1236,write-only code,1
1237,wuppie,15
1238,wuss,39
1239,Xbox,67
1240,xippie,48
1241,yahoo,25
1242,yak,46
1243,yokel,88
1244,yo momma,53
1245,younger model,32
1246,youngin',18
1247,your mamma,49
1248,your mom,45
1249,your mom was good last night,62
1250,yuck,38
1251,yucky,32
1252,yutz,18
1253,zany,28
